problem_idx,field,type,success,execution_time,error,judge_name,judge_id,num_solvers,num_critics,question_type
0,STEM,math,True,182.17759656906128,,Archimedes,DeepSeek-Balanced,3,6,math
1,STEM,math,True,263.63976669311523,,Maximus,GPT-Analytical,3,6,math
2,STEM,math,True,187.58592224121094,,Aurelius,GPT-Creative,3,6,math
3,STEM,math,True,251.41036748886108,,Athena_1,GPT-Creative,3,6,general
4,STEM,math,True,185.15432476997375,,Augustus,DeepSeek-Strict,3,6,math
5,STEM,math,True,180.10517597198486,,Augustus_1,DeepSeek-Strict,3,6,general
6,STEM,math,True,210.2021734714508,,Maximus_1,GPT-Analytical,3,6,math
7,STEM,math,True,256.8881552219391,,Athena,GPT-Analytical,3,6,general
8,STEM,math,True,231.34275317192078,,Maximus,GPT-Analytical,3,6,math
9,STEM,math,True,336.4019043445587,,Maximus,GPT-Analytical,3,6,math
10,STEM,math,True,146.6103446483612,,Maximus,GPT-Analytical,3,6,general
11,STEM,math,True,253.2378053665161,,Maximus,GPT-Analytical,3,6,math
12,STEM,math,True,389.16958594322205,,Maximus,GPT-Analytical,3,6,math
13,STEM,math,True,306.17736196517944,,Augustus_1,DeepSeek-Strict,3,6,general
14,STEM,math,True,260.87163186073303,,Meridian,GPT-Creative,3,6,math
15,STEM,math,True,364.0794942378998,,Maximus,GPT-Analytical,3,6,math
16,STEM,physics,True,207.51127934455872,,Caesar,DeepSeek-Balanced,3,6,physics
17,STEM,physics,True,219.4665710926056,,Augustus_1,DeepSeek-Strict,3,6,physics
18,STEM,physics,True,222.41908144950867,,Archimedes,DeepSeek-Balanced,3,6,general
19,STEM,physics,True,243.30088186264038,,Maximus,GPT-Analytical,3,6,general
20,STEM,physics,True,239.7661452293396,,Atlas,GPT-Analytical,3,6,math
21,STEM,physics,True,304.8529052734375,,Maximus,GPT-Analytical,3,6,general
22,STEM,physics,True,251.90454006195068,,Augustus_1,DeepSeek-Balanced,3,6,physics
23,STEM,physics,True,241.96572184562683,,Aurelius_1,GPT-Analytical,3,6,physics
24,STEM,physics,True,225.1146445274353,,Augustus_1,DeepSeek-Balanced,3,6,general
25,STEM,physics,True,269.1461808681488,,Maximus,GPT-Analytical,3,6,physics
26,STEM,physics,True,254.26700401306152,,Augustus_1,DeepSeek-Strict,3,6,math
27,STEM,physics,True,200.29260087013245,,Aurelius,GPT-Analytical,3,6,general
28,STEM,physics,True,287.6766848564148,,Augustus,DeepSeek-Strict,3,6,math
29,STEM,physics,True,361.1924409866333,,Maximus,GPT-Creative,3,6,general
30,STEM,physics,True,180.11416172981262,,Caesar,DeepSeek-Balanced,3,6,physics
31,STEM,physics,True,250.3117229938507,,Augustus_1,DeepSeek-Balanced,3,6,general
32,STEM,physics,True,214.47212100028992,,Atlas,GPT-Analytical,3,6,general
33,STEM,physics,True,377.3540277481079,,Maximus,GPT-Creative,3,6,physics
34,STEM,physics,True,223.3480830192566,,Augustus_1,DeepSeek-Strict,3,6,general
35,STEM,physics,True,196.65534210205078,,Caesar,DeepSeek-Balanced,3,6,physics
36,STEM,logic,True,195.4925000667572,,Aurelius,GPT-Analytical,3,6,logic
37,STEM,logic,True,210.0318956375122,,Aurelius,GPT-Analytical,3,6,logic
38,STEM,logic,True,290.7884986400604,,Athena,GPT-Creative,3,6,general
39,STEM,logic,True,184.82499980926514,,Augustus_1,DeepSeek-Balanced,3,6,logic
40,STEM,logic,True,174.78287768363953,,Augustus_1,DeepSeek-Strict,3,6,math
41,STEM,logic,True,307.66088032722473,,Quintus,GPT-Creative,3,6,logic
42,STEM,logic,True,346.9616484642029,,Athena,GPT-Analytical,3,6,logic
43,STEM,code,True,402.0438799858093,,Maximus,GPT-Analytical,3,6,logic
44,STEM,code,True,259.4769334793091,,Athena_1,GPT-Creative,3,6,general
45,STEM,code,True,269.7944071292877,,Maximus,GPT-Analytical,3,6,general
46,STEM,spatial,True,326.2017979621887,,Aristotle,GPT-Creative,3,6,logic
47,STEM,spatial,True,245.11377382278442,,Augustus_1,DeepSeek-Balanced,3,6,math
48,STEM,logic,True,147.66548347473145,,Caesar,DeepSeek-Balanced,3,6,logic
49,STEM,logic,True,213.7980146408081,,Augustus_1,DeepSeek-Balanced,3,6,logic
50,STEM,logic,True,290.10714983940125,,Maximus,GPT-Analytical,3,6,logic
51,STEM,game_theory,True,266.77144742012024,,Aurelius,GPT-Analytical,3,6,game_theory
52,STEM,game_theory,True,323.9588496685028,,Athena,GPT-Creative,3,6,logic
53,STEM,game_theory,True,200.77886986732483,,Augustus_1,DeepSeek-Strict,3,6,game_theory
54,STEM,game_theory,True,195.28910446166992,,Augustus_1,DeepSeek-Balanced,3,6,general
55,STEM,game_theory,True,214.0487823486328,,Aristotle,GPT-Creative,3,6,game_theory
56,STEM,game_theory,True,158.921537399292,,Augustus_1,DeepSeek-Balanced,3,6,game_theory
57,STEM,game_theory,True,337.3226659297943,,Cyrus,GPT-Creative,3,6,general
58,STEM,game_theory,True,219.22919392585754,,Aurelius,GPT-Analytical,3,6,general
59,STEM,game_theory,True,324.23533725738525,,Augustus_1,DeepSeek-Balanced,3,6,general
60,STEM,game_theory,True,247.6619668006897,,Athena,GPT-Creative,3,6,logic
61,STEM,game_theory,True,193.83862400054932,,Augustus_1,DeepSeek-Strict,3,6,logic
62,STEM,game_theory,True,267.5074791908264,,Augustus_1,DeepSeek-Balanced,3,6,logic
63,STEM,game_theory,True,445.47787261009216,,Aurelius,GPT-Analytical,3,6,general
